danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,artist,title,date,chart,trend,streams,region,genre
0.724,0.835,6,-4.831,0,0.0887,0.0307,0,0.131,0.76,130.004,audio_features,5AiqL0ezAAauDuVK5EJvXU,spotify:track:5AiqL0ezAAauDuVK5EJvXU,https://api.spotify.com/v1/tracks/5AiqL0ezAAauDuVK5EJvXU,https://api.spotify.com/v1/audio-analysis/5AiqL0ezAAauDuVK5EJvXU,183133,4,4.0,Fero47,NENENE,2019-06-07,top200,NEW_ENTRY,674265.0,Germany,hip hop
0.632,0.788,10,-6.522,0,0.223,0.264,0,0.124,0.458,94.087,audio_features,1hRoprfptl47BWtW1Ylk8U,spotify:track:1hRoprfptl47BWtW1Ylk8U,https://api.spotify.com/v1/tracks/1hRoprfptl47BWtW1Ylk8U,https://api.spotify.com/v1/audio-analysis/1hRoprfptl47BWtW1Ylk8U,245960,4,10.0,Kollegah,Zuhälteraura,2021-08-20,top200,NEW_ENTRY,393543.0,Germany,hip hop
0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,audio_features,1NDxZ7cFAo481dtYWdrUnR,spotify:track:1NDxZ7cFAo481dtYWdrUnR,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR,https://api.spotify.com/v1/audio-analysis/1NDxZ7cFAo481dtYWdrUnR,193613,4,8.0,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,2017-05-28,top200,NEW_ENTRY,234984.0,Germany,rap
0.866,0.858,9,-3.048,1,0.263,0.103,0,0.0681,0.818,164.01,audio_features,51Gj7QV1S482b5g9jRU4zc,spotify:track:51Gj7QV1S482b5g9jRU4zc,https://api.spotify.com/v1/tracks/51Gj7QV1S482b5g9jRU4zc,https://api.spotify.com/v1/audio-analysis/51Gj7QV1S482b5g9jRU4zc,157026,4,3.0,RIN,Dirty South,2021-01-15,top200,NEW_ENTRY,508851.0,Germany,rap
0.575,0.589,0,-7.517,0,0.358,0.28,2.48e-05,0.0781,0.405,108.207,audio_features,6uMbcYQjDxHeZNMyQqT2t3,spotify:track:6uMbcYQjDxHeZNMyQqT2t3,https://api.spotify.com/v1/tracks/6uMbcYQjDxHeZNMyQqT2t3,https://api.spotify.com/v1/audio-analysis/6uMbcYQjDxHeZNMyQqT2t3,171111,5,3.0,"NGEE, Capital Bra",Vergib mir,2021-06-25,top200,NEW_ENTRY,562971.0,Germany,hip hop
0.758,0.729,11,-7.371,1,0.0417,0.423,2.39e-06,0.0954,0.738,142.052,audio_features,6erIvryBSsAdebNU4a7Mrs,spotify:track:6erIvryBSsAdebNU4a7Mrs,https://api.spotify.com/v1/tracks/6erIvryBSsAdebNU4a7Mrs,https://api.spotify.com/v1/audio-analysis/6erIvryBSsAdebNU4a7Mrs,145405,4,9.0,Juju,Hi Babe,2019-06-14,top200,NEW_ENTRY,518115.0,Germany,
0.787,0.73,11,-6.414,0,0.269,0.238,4.86e-05,0.226,0.289,139.985,audio_features,15W80Swo6DecIiAP7CQgm4,spotify:track:15W80Swo6DecIiAP7CQgm4,https://api.spotify.com/v1/tracks/15W80Swo6DecIiAP7CQgm4,https://api.spotify.com/v1/audio-analysis/15W80Swo6DecIiAP7CQgm4,192400,4,10.0,"LX, Maxwell, The Cratez",Hotbox,2020-03-20,top200,NEW_ENTRY,327004.0,Germany,hip hop
0.638,0.86,2,-5.761,1,0.199,0.0607,0.3,0.525,0.466,80.891,audio_features,178iFQyGImdKhaD2PoVdnZ,spotify:track:178iFQyGImdKhaD2PoVdnZ,https://api.spotify.com/v1/tracks/178iFQyGImdKhaD2PoVdnZ,https://api.spotify.com/v1/audio-analysis/178iFQyGImdKhaD2PoVdnZ,182248,4,7.0,MERO,Ben Elimi Sana Verdim,2020-10-30,top200,NEW_ENTRY,455683.0,Germany,opm
0.511,0.528,1,-10.253,1,0.28,0.151,7.87e-06,0.284,0.138,90.038,audio_features,57anOp5t26naVNWzZuhdcl,spotify:track:57anOp5t26naVNWzZuhdcl,https://api.spotify.com/v1/tracks/57anOp5t26naVNWzZuhdcl,https://api.spotify.com/v1/audio-analysis/57anOp5t26naVNWzZuhdcl,207768,4,8.0,Ufo361,Flip$,2021-08-06,top200,NEW_ENTRY,427323.0,Germany,rap
0.667,0.66,4,-4.413,0,0.105,0.0568,0,0.178,0.383,95.035,audio_features,4XPfAjrZAvkmIGh7MbKXLB,spotify:track:4XPfAjrZAvkmIGh7MbKXLB,https://api.spotify.com/v1/tracks/4XPfAjrZAvkmIGh7MbKXLB,https://api.spotify.com/v1/audio-analysis/4XPfAjrZAvkmIGh7MbKXLB,166828,4,2.0,Samra,Augen überall (feat. Ano),2021-03-12,top200,NEW_ENTRY,510645.0,Germany,alt z
0.762,0.721,10,-9.254,1,0.138,0.136,0.00338,0.102,0.451,107.064,audio_features,7HZMdCSq7oUYmn6OHU6kSB,spotify:track:7HZMdCSq7oUYmn6OHU6kSB,https://api.spotify.com/v1/tracks/7HZMdCSq7oUYmn6OHU6kSB,https://api.spotify.com/v1/audio-analysis/7HZMdCSq7oUYmn6OHU6kSB,145794,4,4.0,Cro,ALLES DOPE,2021-01-29,top200,NEW_ENTRY,363099.0,Germany,hip hop
0.828,0.758,10,-8.015,0,0.0899,0.253,2.91e-06,0.117,0.524,140.036,audio_features,0LxEGZDLJWGx9x0wQUhyof,spotify:track:0LxEGZDLJWGx9x0wQUhyof,https://api.spotify.com/v1/tracks/0LxEGZDLJWGx9x0wQUhyof,https://api.spotify.com/v1/audio-analysis/0LxEGZDLJWGx9x0wQUhyof,151640,4,9.0,MERO,Mill'n,2019-03-15,top200,NEW_ENTRY,559114.0,Germany,opm
